date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,day_posted,month_posted,year_posted,mid_price_by_zipcode,price_per_sqft,sqft_lot_per_living,house_age
2014-07-03,285000.0,5,2,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,Thursday,July,2014,309780.0,125.55066079295155,2.7753303964757707,19
2014-05-16,252700.0,2,1,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,Friday,May,2014,282255.0,236.16822429906543,9.01214953271028,29
2014-11-20,329000.0,3,2,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,Thursday,November,2014,282255.0,134.28571428571428,2.6530612244897958,29
2014-11-03,233000.0,3,2,1710,4697,1,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,Monday,November,2014,235000.0,136.25730994152048,2.7467836257309943,73
2014-06-26,937000.0,3,1,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,Thursday,June,2014,744975.0,382.44897959183675,1.0983673469387756,99
2014-12-01,667000.0,3,1,1400,1581,1,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,Monday,December,2014,915000.0,476.42857142857144,1.1292857142857142,105
2014-06-24,438000.0,3,1,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,Tuesday,June,2014,567000.0,288.1578947368421,4.197368421052632,66
2015-03-02,719000.0,4,2,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,Monday,March,2015,615000.0,279.76653696498056,2.7910505836575874,10
2014-11-10,580500.0,3,2,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,Monday,November,2014,570500.0,250.2155172413793,1.7155172413793103,11
2014-12-01,280000.0,2,1,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,Monday,December,2014,375000.0,235.2941176470588,1.0630252100840336,9
2014-06-24,687500.0,4,1,2330,5000,1,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,Tuesday,June,2014,544000.0,295.06437768240346,2.1459227467811157,85
2014-11-10,535000.0,3,1,1090,3000,1,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,Monday,November,2014,544000.0,490.8256880733945,2.7522935779816513,85
2014-12-03,322500.0,4,2,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,Wednesday,December,2014,335000.0,156.55339805825244,3.2325242718446603,33
2014-06-13,696000.0,3,2,2300,3060,1,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,Friday,June,2014,567000.0,302.60869565217394,1.3304347826086957,84
2014-12-30,640000.0,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,Tuesday,December,2014,529950.0,271.1864406779661,2.542372881355932,110
2015-02-13,240000.0,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,Friday,February,2015,260000.0,196.72131147540983,6.618852459016393,46
2014-06-20,605000.0,4,2,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,Friday,June,2014,380000.0,230.91603053435114,2.882824427480916,18
2014-07-15,625000.0,4,2,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,Tuesday,July,2014,642000.0,243.19066147859922,2.1478599221789882,14
2014-07-07,861990.0,5,2,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,Monday,July,2014,635000.0,239.77468706536857,1.568567454798331,0
2014-10-28,685000.0,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,Tuesday,October,2014,744975.0,436.30573248407643,1.4522292993630572,92
2014-07-29,309000.0,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,Tuesday,July,2014,335000.0,241.40625,7.54375,55
2014-07-18,488000.0,3,2,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,Friday,July,2014,401250.0,154.43037974683546,4.304746835443038,11
2015-03-25,210490.0,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,Wednesday,March,2015,268450.0,212.6161616161616,8.614141414141415,49
2014-07-16,785000.0,4,2,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,Wednesday,July,2014,555000.0,342.7947598253275,5.858515283842795,33
2015-04-28,450000.0,3,1,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,Tuesday,April,2015,567000.0,360.0,4.7704,62
2014-09-16,228000.0,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,Tuesday,September,2014,278000.0,191.5966386554622,7.730252100840336,59
2014-12-31,600000.0,3,1,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,Wednesday,December,2014,544000.0,425.531914893617,2.893617021276596,64
2015-02-05,585000.0,2,1,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,Thursday,February,2015,544000.0,295.45454545454544,4.318181818181818,34
2015-03-03,920000.0,5,2,2730,6000,1,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,Tuesday,March,2015,675000.0,336.996336996337,2.197802197802198,88
2014-05-12,885000.0,4,2,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,Monday,May,2014,675000.0,312.7208480565371,1.7667844522968197,19
2014-08-19,292500.0,4,2,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,Tuesday,August,2014,292000.0,130.0,1.9977777777777779,6
2015-04-07,301000.0,3,2,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,Tuesday,April,2015,292000.0,124.3801652892562,1.962809917355372,12
2014-08-27,951000.0,5,3,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,Wednesday,August,2014,545000.0,292.61538461538464,4.412923076923077,46
2015-02-23,430000.0,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,Monday,February,2015,435000.0,232.43243243243242,5.392432432432432,24
2014-08-28,289000.0,3,1,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,Thursday,August,2014,278000.0,229.36507936507937,6.666666666666667,60
2014-10-21,505000.0,3,1,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,Tuesday,October,2014,390000.0,200.47637951568083,3.449781659388646,41
2014-12-07,549000.0,3,1,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,Sunday,December,2014,567000.0,356.4935064935065,0.6779220779220779,0
2014-06-03,425000.0,3,2,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,Tuesday,June,2014,572000.0,256.0240963855422,3.6144578313253013,35
2014-11-20,317625.0,3,2,2770,3809,1,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,Thursday,November,2014,450000.0,114.66606498194946,1.3750902527075812,89
2014-09-09,975000.0,4,2,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,Tuesday,September,2014,1150000.0,358.45588235294116,4.062132352941177,25
2014-10-09,287000.0,4,2,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,Thursday,October,2014,260000.0,128.125,2.075,9
2014-08-25,204000.0,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,Monday,August,2014,292000.0,204.0,12.07,46
2015-01-05,325000.0,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,Monday,January,2015,445950.0,257.93650793650795,4.453968253968254,43
2014-06-10,571000.0,4,2,2750,7807,1,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,Tuesday,June,2014,425000.0,207.63636363636363,2.838909090909091,98
2014-07-10,360000.0,4,2,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,Thursday,July,2014,342000.0,151.26050420168067,2.100840336134454,9
2014-10-13,380000.0,4,1,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,Monday,October,2014,545000.0,215.9090909090909,4.1477272727272725,58
2015-04-20,480000.0,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,Monday,April,2015,562750.0,461.53846153846155,4.865384615384615,74
2014-06-09,410000.0,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,Monday,June,2014,375000.0,290.78014184397165,3.5886524822695036,58
2014-12-02,390000.0,3,2,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,Tuesday,December,2014,342000.0,165.95744680851064,2.1702127659574466,11
2014-12-22,360000.0,4,2,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,Monday,December,2014,342000.0,189.47368421052633,3.099473684210526,22
2014-10-28,355000.0,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,Tuesday,October,2014,367500.0,175.74257425742573,3.3267326732673266,66
2015-01-28,356000.0,3,1,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,Wednesday,January,2015,435000.0,211.9047619047619,5.185714285714286,51
2014-06-02,315000.0,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,Monday,June,2014,425000.0,328.125,6.910416666666666,62
2014-11-14,940000.0,3,1,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,Friday,November,2014,744975.0,439.25233644859816,1.6822429906542056,89
2014-11-03,305000.0,5,2,2660,8400,1,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,Monday,November,2014,309780.0,114.66165413533835,3.1578947368421053,53
2014-06-18,461000.0,3,3,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,Wednesday,June,2014,380000.0,166.4259927797834,2.266425992779783,8
2014-05-19,215000.0,2,2,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,Monday,May,2014,380000.0,133.54037267080744,1.2670807453416149,35
2014-09-04,335000.0,2,1,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,Thursday,September,2014,489950.0,325.24271844660194,1.0349514563106796,8
2014-05-22,243500.0,4,2,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,Thursday,May,2014,268450.0,122.97979797979798,3.738888888888889,26
2015-03-11,1099880.0,5,2,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,Wednesday,March,2015,689800.0,312.46590909090907,1.8048295454545455,14
2015-02-26,153000.0,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,Thursday,February,2015,268450.0,127.5,8.75,53
2014-07-25,430000.0,3,1,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,Friday,July,2014,544000.0,272.1518987341772,3.1645569620253164,75
2014-12-23,700000.0,3,1,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,Tuesday,December,2014,544000.0,443.0379746835443,3.1645569620253164,75
2014-09-08,905000.0,4,2,3300,10250,1,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,Monday,September,2014,993750.0,274.24242424242425,3.106060606060606,68
2015-03-30,247500.0,3,1,1960,15681,1,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,Monday,March,2015,249000.0,126.27551020408163,8.000510204081632,48
2014-09-12,199000.0,4,1,1160,6400,1,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,Friday,September,2014,268450.0,171.55172413793105,5.517241379310345,39
2014-06-11,850830.0,3,2,2070,13241,1,0,0,5,9,1270,800,1910,0,98102,47.6415,-122.315,2200,4500,Wednesday,June,2014,720000.0,411.0289855072464,6.396618357487923,104
2014-10-27,555000.0,3,2,1980,3478,1,0,0,4,7,1440,540,1929,0,98117,47.6775,-122.372,1610,3478,Monday,October,2014,544000.0,280.3030303030303,1.7565656565656567,85
2014-10-07,1088000.0,3,2,2920,8113,2,0,0,3,8,2920,0,1950,2010,98004,47.5814,-122.196,2370,8113,Tuesday,October,2014,1150000.0,372.6027397260274,2.7784246575342464,64
2015-04-02,375000.0,3,2,2340,10005,1,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,Thursday,April,2015,335000.0,160.25641025641025,4.2756410256410255,37
2014-05-23,460000.0,3,1,1670,4005,1,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,Friday,May,2014,544000.0,275.4491017964072,2.3982035928143715,75
2014-07-23,188500.0,2,1,1240,2493,1,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,Wednesday,July,2014,265000.0,152.01612903225808,2.0104838709677417,29
2014-08-27,470000.0,5,1,2030,12342,2,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,Wednesday,August,2014,615000.0,231.5270935960591,6.079802955665024,72
2014-07-25,597750.0,4,2,2310,9624,2,0,0,3,8,2310,0,1984,0,98027,47.5386,-122.053,1940,9636,Friday,July,2014,570500.0,258.76623376623377,4.166233766233766,30
2015-03-04,570000.0,3,1,1260,3328,1,0,0,5,6,700,560,1905,0,98103,47.6823,-122.349,1380,3536,Wednesday,March,2015,550000.0,452.3809523809524,2.641269841269841,110
2014-09-16,272500.0,3,1,1540,12600,1,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,Tuesday,September,2014,342000.0,176.94805194805195,8.181818181818182,34
2014-11-24,329950.0,3,1,2080,5969,1,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,Monday,November,2014,342500.0,158.62980769230768,2.8697115384615386,43
2014-10-28,480000.0,4,2,3230,16171,2,0,3,3,9,2520,710,2001,0,98001,47.3183,-122.253,2640,8517,Tuesday,October,2014,260000.0,148.60681114551085,5.006501547987616,13
2014-06-26,518500.0,3,3,1590,1102,3,0,0,3,8,1590,0,2010,0,98103,47.6824,-122.347,1620,3166,Thursday,June,2014,550000.0,326.1006289308176,0.6930817610062893,4
2014-06-23,205425.0,2,1,880,6780,1,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,Monday,June,2014,278277.0,233.4375,7.704545454545454,69
2015-01-08,171800.0,4,2,1570,9600,1,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,Thursday,January,2015,235000.0,109.4267515923567,6.114649681528663,65
2015-05-11,535000.0,4,1,1610,2982,1,0,0,4,7,1610,0,1925,0,98144,47.587,-122.294,1610,4040,Monday,May,2015,450000.0,332.29813664596276,1.8521739130434782,90
2015-01-02,660000.0,3,2,2400,6474,1,0,2,3,8,1560,840,1964,0,98177,47.7728,-122.386,2340,10856,Friday,January,2015,554000.0,275.0,2.6975,51
2014-11-19,391500.0,3,2,1450,9132,1,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,Wednesday,November,2014,445950.0,270.0,6.297931034482759,27
2015-04-06,395000.0,2,1,770,6000,1,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,Monday,April,2015,544000.0,512.987012987013,7.792207792207792,62
2014-11-04,445000.0,4,1,2100,4400,1,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,Tuesday,November,2014,367500.0,211.9047619047619,2.0952380952380953,90
2014-06-18,770000.0,3,2,2910,10204,2,0,0,3,9,2910,0,1990,0,98052,47.6897,-122.098,2700,13992,Wednesday,June,2014,615000.0,264.6048109965636,3.506529209621993,24
2014-07-17,445000.0,3,2,2100,8201,1,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,Thursday,July,2014,278277.0,211.9047619047619,3.9052380952380954,47
2014-07-17,260000.0,4,2,2160,8811,1,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,Thursday,July,2014,268450.0,120.37037037037037,4.079166666666667,36
2014-06-13,822500.0,5,3,2320,4960,2,0,0,5,7,1720,600,1926,0,98103,47.6763,-122.352,1700,4960,Friday,June,2014,550000.0,354.5258620689655,2.1379310344827585,88
2015-04-06,430000.0,4,2,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,Monday,April,2015,500000.0,207.72946859903382,2.082125603864734,11
2015-01-05,212000.0,3,1,1060,7875,1,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,Monday,January,2015,309780.0,200.0,7.429245283018868,29
2015-04-28,660500.0,4,2,2010,9603,1,0,0,3,8,1440,570,1986,0,98027,47.5343,-122.054,2060,9793,Tuesday,April,2015,570500.0,328.60696517412936,4.777611940298508,29
2014-05-12,453246.0,3,2,2010,2287,2,0,0,3,8,1390,620,2014,0,98029,47.5517,-121.998,1690,1662,Monday,May,2014,575000.0,225.4955223880597,1.1378109452736318,0
2015-01-26,675000.0,4,3,2140,2278,3,0,0,3,9,2140,0,2005,0,98107,47.6734,-122.38,1540,2285,Monday,January,2015,529950.0,315.42056074766356,1.0644859813084113,10
2014-08-05,220000.0,4,1,2020,7840,1,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,Tuesday,August,2014,267475.0,108.91089108910892,3.881188118811881,46
2014-05-29,452000.0,4,2,2590,10002,1,0,0,4,8,1340,1250,1968,0,98028,47.7689,-122.266,1550,10436,Thursday,May,2014,445000.0,174.51737451737452,3.861776061776062,46
2014-07-07,382500.0,2,1,1190,4440,1,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,Monday,July,2014,425000.0,321.42857142857144,3.73109243697479,33
2014-05-07,519950.0,3,2,1170,1249,3,0,0,3,8,1170,0,2014,0,98107,47.6722,-122.381,1350,1310,Wednesday,May,2014,529950.0,444.4017094017094,1.0675213675213675,0
2014-06-27,665000.0,2,1,1110,3200,1,0,0,3,7,1110,0,1925,0,98119,47.6338,-122.358,1170,3600,Friday,June,2014,744975.0,599.0990990990991,2.8828828828828827,89
2014-07-08,527700.0,5,2,2820,9375,1,0,0,4,8,1550,1270,1968,0,98006,47.5707,-122.128,2820,9375,Tuesday,July,2014,760184.5,187.12765957446808,3.324468085106383,46
2015-05-08,205000.0,3,1,1610,8579,1,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,Friday,May,2015,335000.0,127.32919254658385,5.328571428571428,53
2015-04-15,420000.0,3,1,1060,8097,1,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,Wednesday,April,2015,375000.0,396.22641509433964,7.638679245283019,92
2015-02-27,500000.0,4,2,2030,8517,1,0,0,4,8,1380,650,1961,0,98006,47.5495,-122.174,2230,8824,Friday,February,2015,760184.5,246.30541871921181,4.195566502463055,54
2014-06-25,890000.0,4,1,2550,4000,2,0,0,3,8,2370,180,1905,0,98109,47.6354,-122.353,2200,4000,Wednesday,June,2014,736000.0,349.01960784313724,1.5686274509803921,109
2014-11-04,511000.0,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599,Tuesday,November,2014,550000.0,357.34265734265733,2.4160839160839163,67
2014-08-20,532170.0,3,2,1360,3090,2,0,0,3,8,1360,0,1990,0,98103,47.6838,-122.353,1500,3090,Wednesday,August,2014,550000.0,391.3014705882353,2.2720588235294117,24
2015-04-09,560000.0,3,1,1110,5000,1,0,0,3,7,1110,0,1947,0,98107,47.655,-122.359,1420,5000,Thursday,April,2015,529950.0,504.5045045045045,4.504504504504505,68
2015-03-31,282950.0,3,1,1250,8200,1,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,Tuesday,March,2015,267475.0,226.36,6.56,61
2014-05-16,350000.0,1,1,700,5100,1,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,Friday,May,2014,567000.0,500.0,7.285714285714286,72
2014-07-28,215000.0,3,1,1180,7669,1,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,Monday,July,2014,335000.0,182.20338983050848,6.499152542372881,47
2014-08-07,320000.0,4,2,2640,7500,1,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,Thursday,August,2014,268450.0,121.21212121212122,2.840909090909091,47
2014-11-13,247000.0,3,2,1270,7198,1,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,Thursday,November,2014,279500.0,194.48818897637796,5.667716535433071,98
2014-10-03,320000.0,4,1,1760,11180,1,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,Friday,October,2014,435000.0,181.8181818181818,6.3522727272727275,46
2014-05-07,255000.0,5,2,2060,8632,1,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,Wednesday,May,2014,305000.0,123.7864077669903,4.190291262135922,52
2015-03-09,438000.0,3,1,1780,9660,1,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,Monday,March,2015,445950.0,246.06741573033707,5.426966292134831,53
2015-03-04,900000.0,3,2,3400,16603,2,0,0,3,10,3400,0,2000,0,98075,47.6012,-122.023,3400,12601,Wednesday,March,2015,739999.0,264.70588235294116,4.883235294117647,15
2014-06-20,441000.0,3,2,1910,7280,1,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,Friday,June,2014,445950.0,230.89005235602093,3.81151832460733,35
2014-12-08,370000.0,3,1,1580,7000,1,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500,Monday,December,2014,445950.0,234.1772151898734,4.430379746835443,38
2015-02-19,269950.0,2,1,1340,7250,1,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750,Thursday,February,2015,265000.0,201.455223880597,5.41044776119403,66
2015-03-24,807100.0,4,2,2680,4499,2,0,0,3,9,2680,0,1999,0,98006,47.565,-122.125,2920,4500,Tuesday,March,2015,760184.5,301.15671641791045,1.6787313432835822,16
2014-06-05,653000.0,3,2,2680,9750,1,0,0,4,8,1610,1070,1979,0,98034,47.7028,-122.231,2480,8750,Thursday,June,2014,445950.0,243.65671641791045,3.638059701492537,35
2014-06-11,371500.0,3,2,1370,8336,1,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,Wednesday,June,2014,375000.0,271.1678832116788,6.084671532846715,50
2015-01-02,272000.0,3,1,2160,7140,1,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,Friday,January,2015,268450.0,125.92592592592592,3.3055555555555554,37
2014-05-02,313000.0,3,1,1340,7912,1,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,Friday,May,2014,375000.0,233.5820895522388,5.904477611940298,59
2014-09-29,673000.0,4,2,2590,8190,2,0,0,4,8,2590,0,1980,0,98006,47.5619,-122.125,2260,8335,Monday,September,2014,760184.5,259.8455598455598,3.1621621621621623,34
2015-02-10,425000.0,3,2,1120,1100,2,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,Tuesday,February,2015,572000.0,379.4642857142857,0.9821428571428571,7
2014-07-09,399950.0,5,2,1970,5400,1,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,Wednesday,July,2014,450000.0,203.0203045685279,2.7411167512690353,28
